Site,"Alvarado Creek","Alvarado Creek","Alvarado Creek"
"01-01-2025 08:34:10",59.8,1168.9,12.46
"01-01-2025 08:44:10",58.6,1168.9,12.44
"01-01-2025 08:54:10",58.2,1169.0,12.44
"01-01-2025 09:04:10",58.6,1167.2,12.43
"01-01-2025 09:14:10",58.6,1165.9,12.42
"01-01-2025 09:24:10",59.0,1165.2,12.43
"01-01-2025 09:34:10",58.1,1162.3,12.43
"01-01-2025 09:44:10",59.2,1159.7,12.44
"01-01-2025 09:54:10",58.1,1158.3,12.45
"01-01-2025 10:04:10",58.5,1155.1,12.47
"01-01-2025 10:14:10",59.0,1153.3,12.49
"01-01-2025 10:24:10",58.8,1148.6,12.53
"01-01-2025 10:34:10",59.0,1146.6,12.57
"01-01-2025 10:44:10",59.5,1140.5,12.61
"01-01-2025 10:54:10",58.0,1140.3,12.66
"01-01-2025 11:04:10",58.5,1140.9,12.71
"01-01-2025 11:14:10",59.0,1135.9,12.75
"01-01-2025 11:24:10",58.5,1133.3,12.79
"01-01-2025 11:34:10",57.8,1134.1,12.82
"01-01-2025 11:44:10",59.1,1137.5,12.84
"01-01-2025 11:54:10",59.2,1137.4,12.87
"01-01-2025 12:04:10",58.7,1136.8,12.89
"01-01-2025 12:14:10",59.4,1137.0,12.92
"01-01-2025 12:24:10",59.8,1134.2,12.94
"01-01-2025 12:34:10",60.1,1132.5,12.96
"01-01-2025 12:44:10",57.2,1138.1,12.98
"01-01-2025 12:54:10",58.9,1136.1,12.99
"01-01-2025 13:04:10",57.9,1135.9,13.00
"01-01-2025 13:14:10",58.5,1136.3,13.02
"01-01-2025 13:24:10",58.6,1134.9,13.04
"01-01-2025 13:34:10",58.2,1135.0,13.05
"01-01-2025 13:44:10",57.3,1134.4,13.07
"01-01-2025 13:54:10",59.1,1131.4,13.09
"01-01-2025 14:04:10",59.0,1134.9,13.11
"01-01-2025 14:14:10",58.9,1133.6,13.12
"01-01-2025 14:24:10",58.7,1136.2,13.12
"01-01-2025 14:34:10",57.1,1137.8,13.13
"01-01-2025 14:44:10",58.9,1138.6,13.13
"01-01-2025 14:54:10",58.3,1140.7,13.11
"01-01-2025 15:04:10",57.8,1138.4,13.12
"01-01-2025 15:14:10",56.7,1140.2,13.11
"01-01-2025 15:24:10",57.5,1139.0,13.11
"01-01-2025 15:34:10",58.2,1137.2,13.10
"01-01-2025 15:44:10",58.1,1137.5,13.10
"01-01-2025 15:54:10",59.5,1137.3,13.08
"01-01-2025 16:04:10",57.3,1137.3,13.07
"01-01-2025 16:14:10",59.2,1139.5,13.06
"01-01-2025 16:24:10",58.4,1138.8,13.04
"01-01-2025 16:34:10",59.2,1138.8,13.01
"01-01-2025 16:44:10",58.4,1139.3,12.99
"01-01-2025 16:54:10",58.5,1139.5,12.96
"01-01-2025 17:04:10",59.5,1139.1,12.93
"01-01-2025 17:14:10",58.9,1138.6,12.90
"01-01-2025 17:24:10",57.3,1137.5,12.86
"01-01-2025 17:34:10",58.0,1138.5,12.84
"01-01-2025 17:44:10",57.5,1137.3,12.81
"01-01-2025 17:54:10",59.4,1137.8,12.76
"01-01-2025 18:04:10",59.3,1139.9,12.73
"01-01-2025 18:14:10",57.5,1140.9,12.69
"01-01-2025 18:24:10",58.6,1139.0,12.67
"01-01-2025 18:34:10",59.1,1141.7,12.63
"01-01-2025 18:44:10",57.9,1139.2,12.59
"01-01-2025 18:54:10",60.2,1138.4,12.56
"01-01-2025 19:04:10",59.0,1137.2,12.53
"01-01-2025 19:14:10",58.0,1138.6,12.50
"01-01-2025 19:24:10",57.8,1137.0,12.47
"01-01-2025 19:34:10",57.4,1139.2,12.44
"01-01-2025 19:44:10",59.5,1136.3,12.42
"01-01-2025 19:54:10",59.4,1138.0,12.39
"01-01-2025 20:04:10",59.4,1136.0,12.36
"01-01-2025 20:14:10",59.2,1139.1,12.34
"01-01-2025 20:24:10",59.3,1139.1,12.32
"01-01-2025 20:34:10",58.9,1137.7,12.29
"01-01-2025 20:44:10",59.5,1140.6,12.26
"01-01-2025 20:54:10",59.0,1138.0,12.24
"01-01-2025 21:04:10",60.2,1138.0,12.21
"01-01-2025 21:14:10",58.7,1138.2,12.20
"01-01-2025 21:24:10",59.1,1139.3,12.18
"01-01-2025 21:34:10",57.9,1139.9,12.17
"01-01-2025 21:44:10",59.0,1139.6,12.15
"01-01-2025 21:54:10",59.3,1137.2,12.15
"01-01-2025 22:04:10",58.7,1140.5,12.14
"01-01-2025 22:14:10",60.0,1139.6,12.14
"01-01-2025 22:24:10",59.5,1144.1,12.13
"01-01-2025 22:34:10",59.1,1143.2,12.13
"01-01-2025 22:44:10",59.3,1145.7,12.11
"01-01-2025 22:54:10",58.1,1147.7,12.10
"01-01-2025 23:04:10",58.0,1146.3,12.09
"01-01-2025 23:14:10",58.8,1148.9,12.09
"01-01-2025 23:24:10",60.0,1150.7,12.08
"01-01-2025 23:34:10",59.4,1152.7,12.07
"01-01-2025 23:44:10",59.6,1151.1,12.06
"01-01-2025 23:54:10",60.3,1154.1,12.05
"01-02-2025 00:04:10",58.8,1154.3,12.04
"01-02-2025 00:14:10",58.7,1156.5,12.03
"01-02-2025 00:24:10",59.0,1155.6,12.03
"01-02-2025 00:34:10",60.8,1156.5,12.02
"01-02-2025 00:44:10",59.6,1159.7,12.01
"01-02-2025 00:54:10",61.3,1156.8,12.00
"01-02-2025 01:04:10",60.4,1160.3,11.99
"01-02-2025 01:14:10",60.7,1162.7,11.98
"01-02-2025 01:24:10",61.4,1162.9,11.97
"01-02-2025 01:34:10",60.2,1166.6,11.95
"01-02-2025 01:44:10",58.6,1169.0,11.94
"01-02-2025 01:54:10",58.3,1165.2,11.93
"01-02-2025 02:04:10",60.4,1167.1,11.92
"01-02-2025 02:14:10",59.6,1166.0,11.90
"01-02-2025 02:24:10",60.2,1167.4,11.88
"01-02-2025 02:34:10",60.4,1168.8,11.87
"01-02-2025 02:44:10",60.4,1167.7,11.85
"01-02-2025 02:54:10",60.6,1165.0,11.83
"01-02-2025 03:04:10",60.7,1168.6,11.81
"01-02-2025 03:14:10",59.5,1166.4,11.79
"01-02-2025 03:24:10",60.1,1165.5,11.77
"01-02-2025 03:34:10",59.1,1165.8,11.75
"01-02-2025 03:44:10",60.1,1167.3,11.73
"01-02-2025 03:54:10",60.2,1167.4,11.71
"01-02-2025 04:04:10",60.8,1165.7,11.69
"01-02-2025 04:14:10",59.0,1168.0,11.68
"01-02-2025 04:24:10",59.8,1168.2,11.66
"01-02-2025 04:34:10",61.6,1165.7,11.64
"01-02-2025 04:44:10",59.8,1165.4,11.61
"01-02-2025 04:54:10",60.2,1167.8,11.60
"01-02-2025 05:04:10",60.2,1167.0,11.58
"01-02-2025 05:14:10",60.7,1168.6,11.56
"01-02-2025 05:24:10",59.4,1168.5,11.53
"01-02-2025 05:34:10",58.8,1170.9,11.53
"01-02-2025 05:44:10",60.8,1169.2,11.49
"01-02-2025 05:54:10",59.4,1169.2,11.47
"01-02-2025 06:04:10",59.1,1169.5,11.45
"01-02-2025 06:14:10",60.4,1167.6,11.43
"01-02-2025 06:24:10",59.9,1169.3,11.41
"01-02-2025 06:34:10",60.1,1169.2,11.39
"01-02-2025 06:44:10",60.1,1168.9,11.38
"01-02-2025 06:54:10",60.5,1170.5,11.36
"01-02-2025 07:04:10",61.5,1169.0,11.33
"01-02-2025 07:14:10",60.3,1167.5,11.32
"01-02-2025 07:24:10",60.4,1168.3,11.29
"01-02-2025 07:34:10",59.9,1169.4,11.27
"01-02-2025 07:44:10",60.0,1169.5,11.26
"01-02-2025 07:54:10",59.9,1168.5,11.25
"01-02-2025 08:04:10",59.4,1171.0,11.24
"01-02-2025 08:14:10",59.2,1167.5,11.21
"01-02-2025 08:24:10",60.0,1169.0,11.20
"01-02-2025 08:34:10",60.4,1168.5,11.20
"01-02-2025 08:44:10",59.8,1167.2,11.18
"01-02-2025 08:54:10",59.3,1163.5,11.19
"01-02-2025 09:04:10",58.8,1163.3,11.19
"01-02-2025 09:14:10",58.6,1160.4,11.20
"01-02-2025 09:24:10",59.2,1157.3,11.21
"01-02-2025 09:34:10",58.7,1155.1,11.23
"01-02-2025 09:44:10",59.7,1153.5,11.25
"01-02-2025 09:54:10",59.5,1150.2,11.26
"01-02-2025 10:04:10",59.0,1146.3,11.30
"01-02-2025 10:14:10",57.8,1142.6,11.33
"01-02-2025 10:24:10",59.5,1141.8,11.37
"01-02-2025 10:34:10",58.6,1139.2,11.42
"01-02-2025 10:44:10",58.3,1137.4,11.47
"01-02-2025 10:54:10",59.3,1134.9,11.53
"01-02-2025 11:04:10",58.0,1131.7,11.57
"01-02-2025 11:14:10",58.6,1126.6,11.63
"01-02-2025 11:24:10",58.8,1123.5,11.67
"01-02-2025 11:34:10",57.5,1121.5,11.71
"01-02-2025 11:44:10",58.9,1119.2,11.74
"01-02-2025 11:54:10",57.9,1116.2,11.77
"01-02-2025 12:04:10",58.2,1115.7,11.80
"01-02-2025 12:14:10",58.9,1114.0,11.83
"01-02-2025 12:24:10",56.9,1113.1,11.86
"01-02-2025 12:34:10",57.3,1115.2,11.89
"01-02-2025 12:44:10",57.8,1116.6,11.90
"01-02-2025 12:54:10",58.2,1114.7,11.92
"01-02-2025 13:04:10",57.1,1113.7,11.93
"01-02-2025 13:14:10",57.4,1114.7,11.95
"01-02-2025 13:24:10",58.1,1115.9,11.98
"01-02-2025 13:34:10",58.6,1116.4,12.01
"01-02-2025 13:44:10",58.0,1114.6,12.03
"01-02-2025 13:54:10",58.3,1113.5,12.05
"01-02-2025 14:04:10",58.9,1110.6,12.07
"01-02-2025 14:14:10",58.0,1112.6,12.09
"01-02-2025 14:24:10",57.7,1115.0,12.10
"01-02-2025 14:34:10",57.4,1112.3,12.11
"01-02-2025 14:44:10",58.7,1113.0,12.12
"01-02-2025 14:54:10",58.6,1115.6,12.12
"01-02-2025 15:04:10",58.2,1115.1,12.12
"01-02-2025 15:14:10",57.6,1116.3,12.13
"01-02-2025 15:24:10",58.0,1115.2,12.13
"01-02-2025 15:34:10",57.8,1114.2,12.12
"01-02-2025 15:44:10",58.3,1113.5,12.13
"01-02-2025 15:54:10",56.0,1109.4,12.13
"01-02-2025 16:04:10",58.4,1107.8,12.13
"01-02-2025 16:14:10",58.5,1109.1,12.13
"01-02-2025 16:24:10",56.5,1105.5,12.13
"01-02-2025 16:34:10",58.4,1107.8,12.12
"01-02-2025 16:44:10",59.5,1105.0,12.12
"01-02-2025 16:54:10",58.2,1106.4,12.11
"01-02-2025 17:04:10",56.7,1106.8,12.11
"01-02-2025 17:14:10",59.2,1109.8,12.10
"01-02-2025 17:24:10",57.8,1106.6,12.10
"01-02-2025 17:34:10",59.1,1107.4,12.09
"01-02-2025 17:44:10",59.6,1108.2,12.09
"01-02-2025 17:54:10",59.8,1108.5,12.07
"01-02-2025 18:04:10",59.3,1109.0,12.06
"01-02-2025 18:14:10",58.6,1112.6,12.06
"01-02-2025 18:24:10",58.6,1112.5,12.05
"01-02-2025 18:34:10",60.4,1114.2,12.04
"01-02-2025 18:44:10",57.4,1106.0,12.02
"01-02-2025 18:54:10",58.4,1114.3,12.02
"01-02-2025 19:04:10",59.0,1110.9,12.01
"01-02-2025 19:14:10",58.5,1114.3,11.99
"01-02-2025 19:24:10",59.4,1114.3,11.98
"01-02-2025 19:34:10",61.2,1113.7,11.96
"01-02-2025 19:44:10",59.8,1111.2,11.94
"01-02-2025 19:54:10",60.3,1114.2,11.92
"01-02-2025 20:04:10",59.1,1115.4,11.90
"01-02-2025 20:14:10",60.3,1117.0,11.88
"01-02-2025 20:24:10",59.8,1118.8,11.87
"01-02-2025 20:34:10",60.6,1117.4,11.86
"01-02-2025 20:44:10",58.5,1121.5,11.84
"01-02-2025 20:54:10",60.3,1123.3,11.83
"01-02-2025 21:04:10",58.9,1122.1,11.83
"01-02-2025 21:14:10",59.1,1122.4,11.82
"01-02-2025 21:24:10",59.7,1124.4,11.81
"01-02-2025 21:34:10",60.9,1123.4,11.80
"01-02-2025 21:44:10",60.2,1126.3,11.81
"01-02-2025 21:54:10",58.5,1122.7,11.82
"01-02-2025 22:04:10",60.1,1123.1,11.82
"01-02-2025 22:14:10",58.8,1123.2,11.82
"01-02-2025 22:24:10",58.5,1125.8,11.83
"01-02-2025 22:34:10",59.5,1125.6,11.84
"01-02-2025 22:44:10",59.8,1126.4,11.85
"01-02-2025 22:54:10",58.6,1130.9,11.86
"01-02-2025 23:04:10",60.3,1130.7,11.86
"01-02-2025 23:14:10",59.5,1133.2,11.87
"01-02-2025 23:24:10",59.6,1133.3,11.88
"01-02-2025 23:34:10",58.5,1134.4,11.88
"01-02-2025 23:44:10",58.6,1134.4,11.89
"01-02-2025 23:54:10",60.3,1136.0,11.90
"01-03-2025 00:04:10",60.8,1136.6,11.90
"01-03-2025 00:14:10",59.1,1139.2,11.90
"01-03-2025 00:24:10",58.8,1141.6,11.90
"01-03-2025 00:34:10",59.7,1141.2,11.90
"01-03-2025 00:44:10",60.4,1144.8,11.90
"01-03-2025 00:54:10",59.0,1147.1,11.89
"01-03-2025 01:04:10",59.1,1146.6,11.89
"01-03-2025 01:14:10",58.8,1147.7,11.87
"01-03-2025 01:24:10",59.3,1148.3,11.87
"01-03-2025 01:34:10",58.7,1148.8,11.86
"01-03-2025 01:44:10",60.0,1148.4,11.84
"01-03-2025 01:54:10",60.5,1149.9,11.82
"01-03-2025 02:04:10",59.9,1151.8,11.82
"01-03-2025 02:14:10",60.1,1151.3,11.81
"01-03-2025 02:24:10",60.4,1153.8,11.80
"01-03-2025 02:34:10",57.9,1151.6,11.78
"01-03-2025 02:44:10",59.5,1156.7,11.76
"01-03-2025 02:54:10",59.5,1156.5,11.75
"01-03-2025 03:04:10",60.7,1157.1,11.73
"01-03-2025 03:14:10",59.5,1156.4,11.72
"01-03-2025 03:24:10",59.4,1159.3,11.70
"01-03-2025 03:34:10",60.0,1157.9,11.67
"01-03-2025 03:44:10",60.0,1161.2,11.65
"01-03-2025 03:54:10",61.6,1162.7,11.63
"01-03-2025 04:04:10",60.6,1162.4,11.60
"01-03-2025 04:14:10",60.1,1164.5,11.57
"01-03-2025 04:24:10",59.7,1163.3,11.56
"01-03-2025 04:34:10",60.0,1161.3,11.54
"01-03-2025 04:44:10",61.4,1162.2,11.52
"01-03-2025 04:54:10",60.1,1161.8,11.50
"01-03-2025 05:04:10",60.7,1161.6,11.48
"01-03-2025 05:14:10",60.5,1161.8,11.46
"01-03-2025 05:24:10",59.7,1160.8,11.44
"01-03-2025 05:34:10",58.8,1160.6,11.43
"01-03-2025 05:44:10",59.5,1158.8,11.42
"01-03-2025 05:54:10",59.6,1158.8,11.39
"01-03-2025 06:04:10",60.3,1158.9,11.37
"01-03-2025 06:14:10",58.6,1161.4,11.36
"01-03-2025 06:24:10",59.1,1159.4,11.35
"01-03-2025 06:34:10",58.9,1157.4,11.32
"01-03-2025 06:44:10",59.7,1158.8,11.29
"01-03-2025 06:54:10",59.6,1158.8,11.26
"01-03-2025 07:04:10",59.5,1156.1,11.24
"01-03-2025 07:14:10",60.5,1156.6,11.20
"01-03-2025 07:24:10",60.3,1157.8,11.17
"01-03-2025 07:34:10",61.2,1155.6,11.15
"01-03-2025 07:44:10",59.6,1153.7,11.12
"01-03-2025 07:54:10",59.4,1152.3,11.09
"01-03-2025 08:04:10",60.0,1152.2,11.06
"01-03-2025 08:14:10",58.4,1152.2,11.05
"01-03-2025 08:24:10",61.7,1150.2,11.03
"01-03-2025 08:34:10",59.6,1149.0,11.02
"01-03-2025 08:44:10",58.9,1146.0,11.02
"01-03-2025 08:54:10",59.2,1146.7,11.02
"01-03-2025 09:04:10",59.0,1142.0,11.02
"01-03-2025 09:14:10",59.6,1140.7,11.03
"01-03-2025 09:24:10",60.3,1138.8,11.04
"01-03-2025 09:34:10",58.7,1136.2,11.07
"01-03-2025 09:44:10",57.8,1132.9,11.09
"01-03-2025 09:54:10",58.5,1130.6,11.12
"01-03-2025 10:04:10",58.8,1128.1,11.16
"01-03-2025 10:14:10",59.3,1125.3,11.21
"01-03-2025 10:24:10",58.0,1122.8,11.27
"01-03-2025 10:34:10",59.1,1123.2,11.33
"01-03-2025 10:44:10",60.4,1119.5,11.38
"01-03-2025 10:54:10",59.8,1116.1,11.45
"01-03-2025 11:04:10",58.2,1112.5,11.51
"01-03-2025 11:14:10",59.7,1108.8,11.57
"01-03-2025 11:24:10",57.9,1105.9,11.62
"01-03-2025 11:34:10",58.9,1102.2,11.67
"01-03-2025 11:44:10",57.5,1101.2,11.71
"01-03-2025 11:54:10",57.3,1101.6,11.75
"01-03-2025 12:04:10",58.8,1099.3,11.79
"01-03-2025 12:14:10",57.7,1097.2,11.83
"01-03-2025 12:24:10",58.0,1095.9,11.87
"01-03-2025 12:34:10",57.7,1093.5,11.90
"01-03-2025 12:44:10",56.8,1096.2,11.93
"01-03-2025 12:54:10",57.9,1093.6,11.96
"01-03-2025 13:04:10",56.7,1091.8,12.00
"01-03-2025 13:14:10",57.7,1092.2,12.03
"01-03-2025 13:24:10",57.2,1088.1,12.06
"01-03-2025 13:34:10",58.5,1086.4,12.09
"01-03-2025 13:44:10",56.3,1081.1,12.12
"01-03-2025 13:54:10",56.5,1081.5,12.15
"01-03-2025 14:04:10",57.0,1077.8,12.17
"01-03-2025 14:14:10",56.0,1076.8,12.19
"01-03-2025 14:24:10",56.6,1076.6,12.22
"01-03-2025 14:34:10",57.1,1074.1,12.24
"01-03-2025 14:44:10",57.0,1073.5,12.26
"01-03-2025 14:54:10",57.2,1072.0,12.27
"01-03-2025 15:04:10",55.4,1071.2,12.28
"01-03-2025 15:14:10",56.2,1071.0,12.28
"01-03-2025 15:24:10",58.4,1070.4,12.28
"01-03-2025 15:34:10",56.9,1070.2,12.27
"01-03-2025 15:44:10",56.6,1067.8,12.28
"01-03-2025 15:54:10",57.9,1067.7,12.26
"01-03-2025 16:04:10",58.3,1064.4,12.26
"01-03-2025 16:14:10",56.4,1066.6,12.26
"01-03-2025 16:24:10",57.3,1062.1,12.27
"01-03-2025 16:34:10",56.9,1063.5,12.27
"01-03-2025 16:44:10",56.9,1061.8,12.27
"01-03-2025 16:54:10",57.3,1061.6,12.27
"01-03-2025 17:04:10",57.3,1061.4,12.27
"01-03-2025 17:14:10",57.3,1059.2,12.26
"01-03-2025 17:24:10",58.9,1061.2,12.26
"01-03-2025 17:34:10",57.0,1060.6,12.25
"01-03-2025 17:44:10",55.0,1061.3,12.24
"01-03-2025 17:54:10",55.6,1059.5,12.25
"01-03-2025 18:04:10",55.6,1058.1,12.24
"01-03-2025 18:14:10",57.8,1057.3,12.23
"01-03-2025 18:24:10",56.6,1059.8,12.22
"01-03-2025 18:34:10",56.2,1059.5,12.21
"01-03-2025 18:44:10",56.5,1057.7,12.21
"01-03-2025 18:54:10",56.3,1057.6,12.20
"01-03-2025 19:04:10",56.6,1060.0,12.19
"01-03-2025 19:14:10",56.1,1058.0,12.18
"01-03-2025 19:24:10",57.6,1060.4,12.18
"01-03-2025 19:34:10",56.1,1063.6,12.17
"01-03-2025 19:44:10",56.5,1063.6,12.15
"01-03-2025 19:54:10",57.8,1065.0,12.16
"01-03-2025 20:04:10",56.5,1065.3,12.14
"01-03-2025 20:14:10",56.8,1068.4,12.13
"01-03-2025 20:24:10",56.6,1067.0,12.11
"01-03-2025 20:34:10",55.5,1069.5,12.11
"01-03-2025 20:44:10",55.6,1073.0,12.11
"01-03-2025 20:54:10",57.7,1074.4,12.11
"01-03-2025 21:04:10",57.2,1076.4,12.10
"01-03-2025 21:14:10",57.4,1078.3,12.11
"01-03-2025 21:24:10",57.5,1084.7,12.11
"01-03-2025 21:34:10",56.9,1084.9,12.11
"01-03-2025 21:44:10",56.8,1083.1,12.11
"01-03-2025 21:54:10",57.9,1083.2,12.11
"01-03-2025 22:04:10",57.3,1087.4,12.10
"01-03-2025 22:14:10",57.3,1087.6,12.10
"01-03-2025 22:24:10",56.8,1087.8,12.10
"01-03-2025 22:34:10",55.1,1087.6,12.10
"01-03-2025 22:44:10",57.6,1093.2,12.11
"01-03-2025 22:54:10",57.3,1094.8,12.11
"01-03-2025 23:04:10",56.2,1098.0,12.11
"01-03-2025 23:14:10",57.2,1096.1,12.11
"01-03-2025 23:24:10",56.7,1096.6,12.11
"01-03-2025 23:34:10",55.2,1097.4,12.10
"01-03-2025 23:44:10",57.4,1098.3,12.11
"01-03-2025 23:54:10",59.0,1103.8,12.11
"01-04-2025 00:04:10",57.8,1101.9,12.11
"01-04-2025 00:14:10",57.9,1106.3,12.11
"01-04-2025 00:24:10",58.2,1108.2,12.11
"01-04-2025 00:34:10",57.1,1108.2,12.10
"01-04-2025 00:44:10",57.8,1107.1,12.10
"01-04-2025 00:54:10",58.1,1111.1,12.10
"01-04-2025 01:04:10",56.9,1112.4,12.10
"01-04-2025 01:14:10",56.0,1113.6,12.08
"01-04-2025 01:24:10",57.6,1115.4,12.08
"01-04-2025 01:34:10",57.7,1118.0,12.07
"01-04-2025 01:44:10",58.2,1118.6,12.06
"01-04-2025 01:54:10",57.0,1122.0,12.05
"01-04-2025 02:04:10",58.1,1120.4,12.05
"01-04-2025 02:14:10",57.1,1120.2,12.04
"01-04-2025 02:24:10",56.0,1120.0,12.03
"01-04-2025 02:34:10",58.0,1121.4,12.02
"01-04-2025 02:44:10",58.3,1121.9,12.02
"01-04-2025 02:54:10",58.5,1122.9,12.00
"01-04-2025 03:04:10",58.3,1122.4,11.98
"01-04-2025 03:14:10",58.0,1124.7,11.97
"01-04-2025 03:24:10",58.6,1123.6,11.96
"01-04-2025 03:34:10",57.3,1124.6,11.95
"01-04-2025 03:44:10",57.3,1122.9,11.93
"01-04-2025 03:54:10",57.6,1121.8,11.92
"01-04-2025 04:04:10",58.6,1123.9,11.90
"01-04-2025 04:14:10",57.8,1125.1,11.89
"01-04-2025 04:24:10",58.3,1124.1,11.86
"01-04-2025 04:34:10",57.2,1126.1,11.82
"01-04-2025 04:44:10",57.4,1128.5,11.80
"01-04-2025 04:54:10",57.6,1125.8,11.78
"01-04-2025 05:04:10",58.8,1123.0,11.77
"01-04-2025 05:14:10",58.1,1127.0,11.74
"01-04-2025 05:24:10",57.4,1125.4,11.71
"01-04-2025 05:34:10",57.6,1124.4,11.70
"01-04-2025 05:44:10",57.9,1125.3,11.67
"01-04-2025 05:54:10",57.4,1123.7,11.65
"01-04-2025 06:04:10",58.4,1123.8,11.64
"01-04-2025 06:14:10",57.5,1123.9,11.61
"01-04-2025 06:24:10",57.0,1123.2,11.61
"01-04-2025 06:34:10",58.8,1121.9,11.60
"01-04-2025 06:44:10",57.9,1120.4,11.60
"01-04-2025 06:54:10",58.1,1119.6,11.59
"01-04-2025 07:04:10",58.4,1121.2,11.58
"01-04-2025 07:14:10",57.8,1120.0,11.58
"01-04-2025 07:24:10",57.9,1118.3,11.59
"01-04-2025 07:34:10",57.7,1120.4,11.58
"01-04-2025 07:44:10",57.9,1118.9,11.58
"01-04-2025 07:54:10",58.4,1118.0,11.58
"01-04-2025 08:04:10",56.6,1117.6,11.59
"01-04-2025 08:14:10",56.2,1115.5,11.60
"01-04-2025 08:24:10",57.8,1116.9,11.60
"01-04-2025 08:34:10",58.7,1114.5,11.60
"01-04-2025 08:44:10",57.0,1112.5,11.60
"01-04-2025 08:54:10",56.7,1112.4,11.62
"01-04-2025 09:04:10",56.9,1110.0,11.62
"01-04-2025 09:14:10",56.9,1107.8,11.64
"01-04-2025 09:24:10",56.9,1103.0,11.65
"01-04-2025 09:34:10",57.9,1107.6,11.67
"01-04-2025 09:44:10",55.6,1108.2,11.69
"01-04-2025 09:54:10",55.9,1106.0,11.70
"01-04-2025 10:04:10",57.6,1104.8,11.72
"01-04-2025 10:14:10",56.5,1103.0,11.74
"01-04-2025 10:24:10",58.5,1100.3,11.77
"01-04-2025 10:34:10",56.7,1099.6,11.81
"01-04-2025 10:44:10",57.9,1096.2,11.85
"01-04-2025 10:54:10",56.2,1092.1,11.91
"01-04-2025 11:04:10",55.9,1092.6,11.94
"01-04-2025 11:14:10",55.8,1088.3,11.99
"01-04-2025 11:24:10",55.1,1085.4,12.03
"01-04-2025 11:34:10",56.2,1082.2,12.06
"01-04-2025 11:44:10",55.2,1082.9,12.10
"01-04-2025 11:54:10",57.5,1080.8,12.13
"01-04-2025 12:14:10",55.0,1079.2,12.18
"01-04-2025 12:24:10",55.2,1079.8,12.21
"01-04-2025 12:34:10",55.5,1079.2,12.23
"01-04-2025 12:44:10",55.1,1083.9,12.24
"01-04-2025 12:54:10",58.0,1081.9,12.27
"01-04-2025 13:04:10",55.4,1084.0,12.29
"01-04-2025 13:14:10",58.1,1081.2,12.31
"01-04-2025 13:24:10",56.7,1080.2,12.33
"01-04-2025 13:34:10",55.6,1080.1,12.36
"01-04-2025 13:44:10",55.1,1075.9,12.39
"01-04-2025 13:54:10",55.6,1074.1,12.42
